Variable,Label
poly_id,Polygon ID
asdf_id,ASDF ID
mun,Municipality
mun_id,Municipality ID
dep,Department
dep_id,Department ID
dep_mun,Department-municipality
shapeID,Municipality Geoquery Polygon ID
imds,Municipal Sustainable Development Index
rank_imds,Bolivia Index Ranking
population_2020,Population 2020
urbano_2012,"Urbanization rate, 2012 (% of population)"
sdg1_1_eepr,"Extreme energy poverty rate, 2016 (% of houses)"
sdg1_1_ubn,"Unsatisfied basic needs, 2012 (% of population)"
sdg1_2_mpi,"Multidimensional poverty index, 2012"
sdg1_4_abs,"Access to the 3 basic services, 2012 (% of households)"
sdg2_2_cmc,"Chronic malnutrition in children (< 5 years), 2016 (%)"
sdg2_2_oww,"Obesity in women (15-49 years), 2016 (%)"
sdg2_4_pual,"Average area per Production Unit Agriculture and Livestock, 2013 (ha)"
sdg2_4_td,"Tractor density, 2013 (per 1,000 UPAs)"
sdg3_1_idca,"Institutional childbirth coverage, average 2008-2012 (%)"
sdg3_2_imr,"Infant mortality rate (< 1 year), 2016 (per. 1,000 live births)"
sdg3_2_mrc,"Children mortality rate in (< 5 years), 2016 (per. 1,000 live births)"
sdg3_3_cdir,"Chagas disease infestation rate, 2017 (% of households)"
sdg3_3_di,"Dengue incidence, 2018 (per 10,000 population)"
sdg3_3_imr,"Malaria incidence, average 2014-17 (per 1,000 population)"
sdg3_3_ti,"Tuberculosis incidence, 2017 (per 100,000 population)"
sdg3_3_hivi,"HIV incidence, average 2014-17 (per 1,000,00 population)"
sdg3_7_afr,"Adolescent fertility rate (15-19 years), 2012 (births per 1,000 women)"
sdg4_1_ssdrm,"Secondary school dropout rate, male, 2017 (% of enrolled)"
sdg4_1_ssdrf,"Secondary school dropout rate, females, 2017 (% of enrolled)"
sdg4_4_phe,"Population with higher education (>= 19 years), 2012 (%)"
sdg4_6_lr,"Literacy rate for (>= 15 years), 2012 (%)"
sdg4_c_qti,"Qualified teachers at the initial level, 2016 (%)"
sdg4_c_qts,"Qualified teachers at the secondary level, 2016"
sdg5_1_gpsd,"Gender parity in school dropouts in  secondary school, 2017"
sdg5_1_gpyp,"Gender parity in years of education of young people (25-35 years old), 2012. (25"
sdg5_1_gpmpi,"Gender Parity in the Multidimensional Poverty Index, 2012"
